Пивоварня,Стиль,Алкоголь,Начало выпуска,Рейтинг,Пиво,Горечь,Плотность,Ссылка
Big Village Brewery,Wild Ale - American,"6,5%",25.06.2024,"4,023",LOST DESIRES,,,https://your.beer/beer/big-village-brewery-lost-desires
Big Village Brewery,IPA - Imperial / Double New England / Hazy,"6,8%",22.07.2024,"4,077",BROAD REACH,40 IBU,,https://your.beer/beer/big-village-brewery-broad-reach
Big Village Brewery,IPA - Cold,"6,8%",08.07.2024,"3,895",ICE CAVE,,,https://your.beer/beer/big-village-brewery-ice-cave
Brauning Bier,Lager - Vienna,"5,9%",06.08.2024,N/A,Шёнбрунн,20 IBU,"14,2%",https://your.beer/beer/brauning-bier-brauning-bir-schonbrunn-shyonbrunn
Brauning Bier,IPA - American,"6,3%",08.08.2024,N/A,Типсу,50 IBU,"14,7%",https://your.beer/beer/brauning-bier-brauning-bir-tipsoo-tipsu
Brew Balance,Stout - Milk / Sweet,"6,0%",06.02.2023,"3,638",Double Chocolate Stout,35 IBU,,https://your.beer/beer/brew-balance-double-chocolate-stout
Brewlok,IPA - Other,"6,0%",12.07.2024,"3,384",Прямой эфир,,,https://your.beer/beer/brewlok-brewery-pryamoj-efir
Brewlok,Lager - Helles,"5,2%",19.07.2024,"3,637",Ночь,,,https://your.beer/beer/brewlok-brewery-noch
Delta Ksi,Porter - Baltic,"6,9%",08.08.2024,N/A,Tinkerbell Effect 13,20 IBU,"20,0%",https://your.beer/beer/delta-ksi-delta-ksi-tinkerbell-effect-13
Forbidden Root Brewery - Columbus,Porter - American,"6,8%",27.01.2021,"3,857",Accidental Overdub,,,https://your.beer/beer/forbidden-root-brewery-columbus-accidental-overdub
Frogking Awesome Meadery,Mead - Melomel,"6,8%",03.08.2024,N/A,Summer Days Illusion,,,https://your.beer/beer/frogking-awesome-meadery-summer-days-illusion
Hoppy Hog,Pale Ale - Milkshake,"5,0%",31.07.2024,N/A,Mango Session Milkshake,25 IBU,,https://your.beer/beer/hoppy-hog-family-brewery-mango-session-milkshake
LiBre,Sour - Smoothie / Pastry,"6,6%",09.07.2024,N/A,Witchcraft #4 (Strawberry-Grapefruit Biscuit),10 IBU,,https://your.beer/beer/libre-witchcraft-4-strawberry-grapefruit-biscuit
Mad Frog Brewery,Wild Ale - Other,"6,8%",03.08.2024,N/A,DrAuGR,,,https://your.beer/beer/mad-frog-brewery-draugr
Mad Frog Brewery,Sour - Smoothie / Pastry,"6,0%",03.08.2024,N/A,TOP Gelato,,,https://your.beer/beer/mad-frog-brewery-top-gelato
Mad Frog Brewery,Wild Ale - Other,"6,8%",03.08.2024,N/A,Le Petit Shat Doit Mourir. Blend N.1,,,https://your.beer/beer/mad-frog-brewery-le-petit-shat-doit-mourir-blend-n-1
Malanka,IPA - New England / Hazy,"6,4%",02.08.2024,N/A,Imhla: HBC 638,40 IBU,,https://your.beer/beer/malanka-imhla-hbc-638
Mateich Craft Beer,IPA - American,"6,0%",26.07.2024,N/A,Montana,30 IBU,,https://your.beer/beer/mateich-craft-beer-montana
Midnight Project,Sour - Fruited Gose,"5,0%",,N/A,Кот і сабака,10 IBU,,https://your.beer/beer/midnight-project-kot-i-sabaka
Nuclear Brewery,Stout - Imperial / Double Pastry,"6,8%",01.06.2023,"3,746",Lawrencium  Amaretto Edition,10 IBU,,https://your.beer/beer/nuclear-brewery-lawrencium-amaretto-edition
Nuclear Brewery,Sour - Smoothie / Pastry,"4,5%",14.04.2023,"4,038",Samarium Mango Banana And Lime Edition,,,https://your.beer/beer/nuclear-brewery-samarium-mango-banana-and-lime-edition
Plague Brew,Historical Beer - Other,"4,2%",03.06.2024,"3,738",Baroque Era,10 IBU,,https://your.beer/beer/plague-brew-baroque-era
Plague Brew,Pale Ale - Australian,"4,8%",09.02.2024,"3,895",Criminal Pale Ella,30 IBU,,https://your.beer/beer/plague-brew-criminal-pale-ella
Point Ybel Brewing Company,Kölsch,"4,5%",21.03.2019,"3,726",Bud Weisberg,,,https://your.beer/beer/point-ybel-brewing-company-bud-weisberg
ProArt Brewery,IPA - Rye,"4,6%",02.08.2024,"3,915",Rye IPA (IPA Day 2024),35 IBU,,https://your.beer/beer/proart-brewery-rye-ipa-ipa-day-2024
Rebrew,IPA - New England / Hazy,"6,8%",29.07.2024,"3,979",FREUDE TDH NEIPA,10 IBU,,https://your.beer/beer/rebrew-freude-tdh-neipa
Rebrew,IPA - New England / Hazy,"5,7%",29.07.2024,"3,86",ЛЕГІТ,10 IBU,,https://your.beer/beer/rebrew-legit
"Red Button Brewery, Time Bomb Brewery",Porter - Imperial / Double,"6,8%",24.06.2024,"4,1",Ode To Dome,40 IBU,,https://your.beer/beer/red-button-brewery-ode-to-dome
Red Cat,IPA - New England / Hazy,"6,1%",12.07.2024,"4,034",BLADE,25 IBU,,https://your.beer/beer/red-cat-blade
Rewort Brewery,IPA - American,"6,0%",04.07.2024,"3,958",Crispy Fashion,60 IBU,,https://your.beer/beer/rewort-brewery-crispy-fashion
Robin Hood Brewing Co.,Belgian Strong Dark Ale,"6,8%",17.12.2014,"3,479",Waes Hael Holiday Ale,20 IBU,,https://your.beer/beer/robin-hood-brewing-co-waes-hael-holiday-ale
Roses By The Stairs,Sour - Fruited,"4,8%",26.05.2023,"4,047",Sonniger Tag,,,https://your.beer/beer/roses-by-the-stairs-sonniger-tag
Royal Fruit Garden,Cider - Other Fruit,"5,2%",11.06.2023,"3,297",ШПРИЦ РОЯЛ (spritz Royal Fërn),,,https://your.beer/beer/royal-fruit-bel-shpric-royal-spritz-royal-fern
SHO Brewery,Sour - Other,"5,0%",20.04.2024,"4,038",Turbo Techno Sour,10 IBU,,https://your.beer/beer/sho-brewery-iiio-turbo-techno-sour
Snowcap Brewing,IPA - American,"6,8%",02.07.2024,"3,978",Kuzma,60 IBU,,https://your.beer/beer/snowcap-brewing-kuzma
SOC Brewing Inc.,IPA - American,"6,8%",29.04.2023,"3,619",Juicy Storm,20 IBU,,https://your.beer/beer/soc-brewing-inc-juicy-storm
Sozhski Beer,IPA - New England / Hazy,"6,9%",31.07.2024,N/A,Tropicana,50 IBU,,https://your.beer/beer/sozhski-beer-tropicana
"Strange Toys, Teréna Térena",IPA - Sour,"4,3%",29.07.2024,"4,184",It's Ok To Be Bro,25 IBU,,https://your.beer/beer/strange-toys-it-s-ok-to-be-bro
The Bad Beaver!,Sour - Fruited,"4,9%",24.07.2024,N/A,"BLOSSOM: Cranberry, Grapefruit & Linden Flowers",7 IBU,,https://your.beer/beer/the-bad-beaver-blossom-cranberry-grapefruit-and-linden-flowers
Velka Morava,IPA - New England / Hazy,"6,8%",29.07.2024,"4,164",Nectar Haze,,,https://your.beer/beer/velka-morava-nectar-haze
Volta Brewery,Sour - Smoothie / Pastry,"5,2%",31.07.2024,N/A,DOPAMINE SMOOOOTHIE SOUR,10 IBU,,https://your.beer/beer/volta-brewery-dopamine-smoooothie-sour
Volta Brewery,Sour - Tomato / Vegetable Gose,"5,2%",31.07.2024,N/A,PEPPER X,10 IBU,,https://your.beer/beer/volta-brewery-pepper-x
Wild Hills Brewery,Sour - Fruited,"6,0%",26.04.2024,"4,151","Sour Ale Ананас, Лайм, Белая гуава",,,https://your.beer/beer/wild-hills-brewery-sour-ale-ananas-lajm-belaya-guava
Wild Hills Brewery,Sour - Tomato / Vegetable Gose,"6,5%",26.04.2024,"4,263",Vegetable Gose Кимчи,,,https://your.beer/beer/wild-hills-brewery-vegetable-gose-kimchi
Wychwood Brewery,Stout - English,"4,1%",08.03.2023,"3,356",Hobgoblin Stout,,,https://your.beer/beer/wychwood-brewery-hobgoblin-stout
Zagovor Brewery,Pale Ale - New England / Hazy,"5,2%",30.07.2024,"4,175",Spirals,30 IBU,,https://your.beer/beer/zagovor-brewery-spirals
